# Supplementary Data S2: Temperature-dependent ammonia toxicity in Tenebrio molitor larvae at 26-28°C
# Complete dataset including individual larval responses, parasite loads, and survival outcomes
# Experiment duration: 10 days, n=75 larvae across 5 concentration groups (15 larvae per group)
# Parasitological assessment: Gregarina spp. counts (G. polymorpha, G. cuneata, G. steini)
Temperature, °C,10% NH₃,Start weight, mg,End weight, mg,Weight change, mg,G.p.,G.c.,G.s.,Status
26–28,0,158,195,37,38,16,24,Alive
26–28,0,162,188,26,0,0,0,Alive
26–28,0,144,162,18,53,0,0,Alive
26–28,0,157,174,17,21,11,31,Alive
26–28,0,149,182,33,0,19,0,Alive
26–28,0,153,169,16,18,7,26,Alive
26–28,0,166,191,25,0,0,71,Alive
26–28,0,140,158,18,27,12,31,Alive
26–28,0,161,179,18,0,0,0,Alive
26–28,0,145,163,18,0,18,0,Alive
26–28,0,159,176,17,44,0,0,Alive
26–28,0,152,170,18,21,11,29,Alive
26–28,0,148,166,18,0,26,0,Alive
26–28,0,164,181,17,23,12,34,Alive
26–28,0,156,173,17,62,0,0,Alive
26–28,1000,166,182,16,10,4,13,Alive
26–28,1000,131,119,-12,0,0,0,Alive
26–28,1000,180,168,-12,0,3,12,Alive
26–28,1000,196,155,-41,9,0,14,Alive
26–28,1000,126,117,-9,0,6,0,Alive
26–28,1000,173,158,-17,13,7,17,Alive
26–28,1000,145,0,0,0,0,0,Dead
26–28,1000,189,174,-19,0,0,0,Alive
26–28,1000,157,142,-15,14,6,18,Alive
26–28,1000,164,0,0,0,0,0,Dead
26–28,1000,178,163,-13,0,0,13,Alive
26–28,1000,152,137,-18,12,5,15,Alive
26–28,1000,161,146,-16,7,2,10,Alive
26–28,1000,148,133,-17,9,4,14,Alive
26–28,1000,182,167,-12,0,0,0,Alive
26–28,2000,185,141,-44,6,1,9,Alive
26–28,2000,216,197,-19,0,0,0,Alive
26–28,2000,154,174,20,10,5,15,Alive
26–28,2000,158,178,20,7,2,11,Alive
26–28,2000,184,146,-38,0,0,13,Alive
26–28,2000,167,0,0,0,0,0,Dead
26–28,2000,149,134,-18,5,1,8,Alive
26–28,2000,173,158,-16,11,5,16,Alive
26–28,2000,191,0,0,0,0,0,Dead
26–28,2000,156,141,-12,0,0,0,Alive
26–28,2000,178,163,-9,8,3,14,Alive
26–28,2000,162,147,-12,4,0,6,Alive
26–28,2000,145,0,0,0,0,0,Dead
26–28,2000,187,172,-19,0,3,0,Alive
26–28,2000,174,159,-22,9,4,15,Alive
26–28,3000,164,153,-11,3,0,5,Alive
26–28,3000,162,126,-36,5,1,8,Alive
26–28,3000,154,0,0,0,0,0,Dead
26–28,3000,134,139,5,0,0,0,Alive
26–28,3000,132,149,17,6,3,11,Alive
26–28,3000,178,0,0,0,0,0,Dead
26–28,3000,156,141,-11,2,0,4,Alive
26–28,3000,149,0,0,0,0,0,Dead
26–28,3000,167,152,-13,0,0,0,Alive
26–28,3000,143,0,0,0,0,0,Dead
26–28,3000,171,156,-13,3,1,6,Alive
26–28,3000,159,144,-12,4,0,7,Alive
26–28,3000,184,0,0,0,0,0,Dead
26–28,3000,148,133,-16,0,0,0,Alive
26–28,3000,161,146,-16,2,0,3,Alive
26–28,4000,149,0,0,0,0,0,Dead
26–28,4000,164,129,-35,1,0,2,Alive
26–28,4000,149,0,0,0,0,0,Dead
26–28,4000,159,0,0,0,0,0,Dead
26–28,4000,142,141,-1,0,0,0,Alive
26–28,4000,176,0,0,0,0,0,Dead
26–28,4000,158,143,-18,0,0,4,Alive
26–28,4000,173,0,0,0,0,0,Dead
26–28,4000,151,136,-20,0,0,1,Alive
26–28,4000,167,0,0,0,0,0,Dead
26–28,4000,145,0,0,0,0,0,Dead
26–28,4000,182,167,-16,3,0,5,Alive
26–28,4000,154,0,0,0,0,0,Dead
26–28,4000,168,0,0,0,0,0,Dead
26–28,4000,179,164,-23,1,1,3,Alive
